,experiment_id,well,cells_ml_mean,cells_ml_std
222,experiment.transcriptic.r1dvbs7kdxq4md,d11,271850.735295,407231.9732355821
223,experiment.transcriptic.r1dvbs7kdxq4md,d12,105941.666665,178751.15565648323
224,experiment.transcriptic.r1dvbs7kdxq4md,d2,1375.0000000000002,1442.0599998561731
225,experiment.transcriptic.r1dvbs7kdxq4md,d3,173373.7244925,292741.1679288192
226,experiment.transcriptic.r1dvbs7kdxq4md,d4,1523621.020645,1170066.435971054
227,experiment.transcriptic.r1dvbs7kdxq4md,d5,816614.7435875001,1001763.9691637674
228,experiment.transcriptic.r1dvbs7kdxq4md,d6,140276.9774025,245481.59268763702
229,experiment.transcriptic.r1dvbs7kdxq4md,d7,1872800.40221,568658.3450849422
230,experiment.transcriptic.r1dvbs7kdxq4md,d8,691618.0555575,809828.8598010449
231,experiment.transcriptic.r1dvbs7kdxq4md,d9,219055.995935,343309.464995515
232,experiment.transcriptic.r1dvbs7kdxq4md,e1,121216.6666675,192427.06314188105
233,experiment.transcriptic.r1dvbs7kdxq4md,e10,2408.3333325000003,2849.447642494036
234,experiment.transcriptic.r1dvbs7kdxq4md,e11,934703.5087725001,560105.0137967071
235,experiment.transcriptic.r1dvbs7kdxq4md,e12,343424.9999975,408571.8293318109
236,experiment.transcriptic.r1dvbs7kdxq4md,e3,156430.26729750002,273344.57031069655
237,experiment.transcriptic.r1dvbs7kdxq4md,e4,6941.66667,9355.435140423275
238,experiment.transcriptic.r1dvbs7kdxq4md,e5,129458.333335,231755.58385649588
239,experiment.transcriptic.r1dvbs7kdxq4md,e6,238554.16666500003,396855.8674291404
240,experiment.transcriptic.r1dvbs7kdxq4md,e7,1194878.2785875,746451.9680110215
241,experiment.transcriptic.r1dvbs7kdxq4md,e8,1399269.652405,1065985.7956441068
242,experiment.transcriptic.r1dvbs7kdxq4md,e9,2808.333335,2404.3363572003723
243,experiment.transcriptic.r1dvbs7kdxq4md,f1,336507.37179749995,545079.1863108893
244,experiment.transcriptic.r1dvbs7kdxq4md,f10,1105480.9523825,896393.2163273242
245,experiment.transcriptic.r1dvbs7kdxq4md,f11,1567767.63834,1059102.5464249954
246,experiment.transcriptic.r1dvbs7kdxq4md,f12,2017731.49451,503427.13362234994
247,experiment.transcriptic.r1dvbs7kdxq4md,f3,253268.60464749997,305168.1275951078
248,experiment.transcriptic.r1dvbs7kdxq4md,f4,638500.0,828997.6498874864
249,experiment.transcriptic.r1dvbs7kdxq4md,f5,30116.6666675,52555.58433112402
250,experiment.transcriptic.r1dvbs7kdxq4md,f6,839178.63248,990510.7587425513
251,experiment.transcriptic.r1dvbs7kdxq4md,f7,821558.8423825,777459.9608649021
252,experiment.transcriptic.r1dvbs7kdxq4md,f8,43970.8333325,75653.55414235494
253,experiment.transcriptic.r1dvbs7kdxq4md,f9,1453901.0531125,858022.4515237446
254,experiment.transcriptic.r1dvbs7kdxq4md,g1,3208.3333325000003,2262.3119941899163
255,experiment.transcriptic.r1dvbs7kdxq4md,g10,891173.8095249999,844479.2961060018
256,experiment.transcriptic.r1dvbs7kdxq4md,g11,1842275.3716874998,512156.92228313035
257,experiment.transcriptic.r1dvbs7kdxq4md,g12,1449048.1522950002,575792.6616518726
258,experiment.transcriptic.r1dvbs7kdxq4md,g3,141150.0,176823.58073249692
259,experiment.transcriptic.r1dvbs7kdxq4md,g4,710805.637255,812854.6765699548
260,experiment.transcriptic.r1dvbs7kdxq4md,g5,13129.1666675,21760.66947921499
261,experiment.transcriptic.r1dvbs7kdxq4md,g6,70333.33333499999,124897.97391941508
262,experiment.transcriptic.r1dvbs7kdxq4md,g7,706820.3014175,899430.333932514
263,experiment.transcriptic.r1dvbs7kdxq4md,g8,61991.66666750001,104965.7320596996
264,experiment.transcriptic.r1dvbs7kdxq4md,g9,773935.7142874999,954758.8222224648
265,experiment.transcriptic.r1dvbs7kdxq4md,h1,2566.6666674999997,2128.423166058576
266,experiment.transcriptic.r1dvbs7kdxq4md,h10,8562.499997500001,12085.577377448939
267,experiment.transcriptic.r1dvbs7kdxq4md,h11,34087.500002500004,56059.40859017309
268,experiment.transcriptic.r1dvbs7kdxq4md,h12,21379.166664999997,32344.463647376546
269,experiment.transcriptic.r1dvbs7kdxq4md,h3,69079.1666675,110956.71943313858
270,experiment.transcriptic.r1dvbs7kdxq4md,h4,35924.999997499996,56311.689628528475
271,experiment.transcriptic.r1dvbs7kdxq4md,h5,63187.49999750001,107494.64101572447
272,experiment.transcriptic.r1dvbs7kdxq4md,h6,240683.333335,343752.48335669073
273,experiment.transcriptic.r1dvbs7kdxq4md,h7,107487.5000025,186386.21510394476
274,experiment.transcriptic.r1dvbs7kdxq4md,h8,241154.166665,344338.89378646505
275,experiment.transcriptic.r1dvbs7kdxq4md,h9,98537.4999975,147594.9734251333
